(44.788039998365505, -73.14262136322242),
(44.78706258208786, -73.14341169669612),
(44.785923369749575, -73.14534365523117),
(44.78540174301666, -73.14649764000858),
(44.78506000673686, -73.14764625862406),
(44.78249623130462, -73.15050974150441),
(44.78025941776946, -73.15133873611444),
(44.77864350407932, -73.15164272886432),
(44.777747212699516, -73.1519244901753),
(44.77642467453577, -73.15361014545579),
(44.77459563473801, -73.15745894615877),
(44.77343221050633, -73.1578753235885),
(44.772265539199545, -73.1580390132612),
(44.770396031318555, -73.15936182029321),
(44.76978271329457, -73.1603932277939),
(44.7695236637654, -73.16115825339658),
(44.76855051207364, -73.16220073633941),
(44.76738706626322, -73.16261685538343),
(44.762461731436765, -73.16416305031174),
(44.76175294856809, -73.16494341078493),
(44.76105551278572, -73.16635521774803),
(44.75861096725576, -73.17110727162425),
(44.758451634125734, -73.17237561892473),
(44.75856215692768, -73.17363549129205),
(44.759043289105676, -73.17564171757502),
(44.758702344930136, -73.17678957765736),
(44.75669852729589, -73.18102156788684),
(44.75536537001138, -73.18207424877225),
(44.754563222565174, -73.18260476845333),
(44.7519603751046, -73.18306533835683),
(44.750434290411974, -73.18336579033215),
(44.74874127602594, -73.1844294106162),
(44.74653366408699, -73.1871509102063),
(44.742564858179264, -73.19232692244604),
(44.73971875697761, -73.19456262894487),
(44.73650373554389, -73.19617812079174),
(44.733371148591715, -73.19728572489042),
(44.730511671369925, -73.19863723716065),
(44.72934959481907, -73.19917832994395),
(44.716138088768226, -73.20627885553608),
(44.71433898242712, -73.20664151065544),
(44.71317682635151, -73.20687536073868),
(44.711918894279925, -73.2070404345512),
(44.70447586008668, -73.20891087462375),
(44.70277824195968, -73.2097204355217),
(44.70170721524208, -73.2102583367755),
(44.698756373962034, -73.21161126677407),
(44.6967788068005, -73.21179831412185),
(44.693731711424846, -73.21264925013982),
(44.6925547601156, -73.21218068835738),
(44.69055854358945, -73.21123250244293),
(44.68948059673168, -73.21139177385918),
(44.68849368879015, -73.21154843251882),
(44.68347050048561, -73.21271220873004),
(44.68265231495491, -73.21223264568633),
(44.68165106539074, -73.21150644888239),
(44.68065133313955, -73.21090635879709),
(44.67939031332704, -73.21081897463627),
(44.677057067117694, -73.2112692268309),
(44.67588322690565, -73.21105296853257),
(44.67415955745712, -73.21022276070578),
(44.673261522743125, -73.21037660406448),
(44.672195120260376, -73.21129243135893),
(44.671393950012195, -73.21182174783948),
(44.66996077317392, -73.21237044320424),
(44.66843405888421, -73.2125433504924),
(44.662675194208084, -73.21272026487708),
(44.66025193832536, -73.2131730803594),
(44.656023534979894, -73.2133029071812),
(44.654854415448966, -73.21346477781285),
(44.6530519585443, -73.2132679043647),
(44.65160819409569, -73.213060097443),
(44.649536274590695, -73.21299738791083),
(44.647271249894075, -73.21205828647126),
(44.64591162388372, -73.21146932098428),
(44.644183694135826, -73.2103874625491),
(44.642914019562696, -73.20979605206742),
(44.64083472278306, -73.20922967758739),
(44.639487904552624, -73.20939717799389),
(44.63751758427015, -73.21008812449936),
(44.636181244987974, -73.2110117050263),
(44.632936552893575, -73.21653236088326),
(44.63241372736863, -73.21755688392804),
(44.63163882002699, -73.21984978430751),
(44.63120368654424, -73.22087144644884),
(44.62881399737781, -73.22926448992091),
(44.628407169908535, -73.23205002496555),
(44.628254514900405, -73.23381943914254),
(44.627019391930645, -73.2412944804462),
(44.62666831655423, -73.24193511920377),
(44.62604118982323, -73.24208013345242),
(44.62531146727691, -73.24147194027088),
(44.624207830498776, -73.23999250900752),
(44.622189829443734, -73.23753256068879),
(44.62137327970543, -73.23717923592838),
(44.62074615567283, -73.23732428653186),
(44.62030620670849, -73.23796776020178),
(44.62033647847802, -73.23998328086827),
(44.619353623132795, -73.2403911193772),
(44.618738365486216, -73.24141811285699),
(44.61833282635929, -73.24432918911143),
(44.61807543230422, -73.24509327836984),
(44.616844425205535, -73.24702080821945),
(44.61603892030261, -73.24729711447667),
(44.61540647692267, -73.24718995793306),
(44.61467528623629, -73.24645598839828),
(44.613660094052236, -73.24484806681306),
(44.61273592846719, -73.24323751644776),
(44.61190527859518, -73.24200234931374),
(44.610794319372125, -73.24001943945564),
(44.61060461604319, -73.23961480503071),
(44.61014424182821, -73.23865291428494),
(44.60993867392235, -73.23702086782865),
(44.610002995280496, -73.23538065827135),
(44.61023413631551, -73.23285322722018),
(44.609485575592686, -73.23098558242064),
(44.60865587523477, -73.22975067884343),
(44.60792457646723, -73.22901674823807),
(44.60710489630293, -73.22841150393666),
(44.60638086215771, -73.22818161367594),
(44.60323348046138, -73.22840313997406),
(44.6004386064752, -73.22811012469519),
(44.59826925725158, -73.22754600167816),
(44.59584162386616, -73.22774577454828),
(44.59467617166395, -73.22803317736526),
(44.59164489776533, -73.23001491905576),
(44.59119077413968, -73.22977674584862),
(44.58980657473804, -73.22755114461737),
(44.58880382756437, -73.22669978337744),
(44.58726425042481, -73.22611690840017),
(44.58393260251591, -73.22609201789312),
(44.58187638600602, -73.2270360731064),
(44.57862270921978, -73.22612750429101),
(44.57860847334684, -73.2252462948631),
(44.57939392661523, -73.22371086375847),
(44.580038390627216, -73.21877897223845),
(44.57957003959412, -73.21765958328164),
